Symbol,Close,Percent Change,Volume
NABIL,1488,-0.06,54477
NABIL,1494,0.4,88896
NABIL,1494,0,51624
NABIL,1512,1.2,131079
NABIL,1514,0.13,76570
NABIL,1519,0.33,61561
NABIL,1505,-0.92,247612
NABIL,1507.4,0.16,201928
NABIL,1495,-0.82,216309
NABIL,1495,0,119338
NABIL,1490,-0.33,106885
NABIL,1477,-0.87,108363
NABIL,1459,-1.22,120921
NABIL,1450,-0.62,159476
NABIL,1433,-1.17,183055
NABIL,1419,-0.98,126285
NABIL,1420,0.07,124665
NABIL,1418,-0.14,105395
NABIL,1388,-2.12,177307
NABIL,1442,3.89,134284
NABIL,1429.9,-0.84,79191
NABIL,1415,-1.04,59583
NABIL,1410,-0.35,70348
NABIL,1440,2.13,75225
NABIL,1455,1.04,210616
NABIL,1453,-0.14,46726
NABIL,1445,-0.55,37192
NABIL,1424.5,-1.42,108701
NABIL,1393,-2.21,132043
NABIL,1389,-0.29,148677
NABIL,1424.4,2.55,79284
NABIL,1438,0.95,136670
NABIL,1431,-0.49,116113
NABIL,1415,-1.12,47830
NABIL,1395,-1.41,86659
NABIL,1408,0.93,58596
NABIL,1407,-0.07,47037
NABIL,1395,-0.85,55819
NABIL,1397,0.14,60200
NABIL,1410,0.93,44358
NABIL,1444.9,2.48,57353
NABIL,1474,2.01,77855
NABIL,1450,-1.63,118043
NABIL,1482,2.21,56389
NABIL,1468,-0.94,67707
NABIL,1431,-2.52,77881
NABIL,1460,2.03,65244
NABIL,1471,0.75,65682
NABIL,1470.9,-0.01,54884
NABIL,1497,1.77,78485
NABIL,1569,4.81,225327
NABIL,1606,2.36,270557
NABIL,1598,-0.5,141749
NABIL,1580,-1.13,176045
NABIL,1620,2.53,215086
NABIL,1608,-0.74,131659
NABIL,1653,2.8,705430
NABIL,1614.7,-2.32,186984
NABIL,1579,-2.21,188332
NABIL,1550,-1.84,199932
NABIL,1548,-0.13,107590
NABIL,1540,-0.52,104146
NABIL,1559,1.23,74044
NABIL,1556,-0.19,99187
NABIL,1547,-0.58,89460
NABIL,1544,-0.19,75509
NABIL,1546,0.13,80745
NABIL,1537,-0.58,62286
NABIL,1545,0.52,54975
NABIL,1538,-0.45,64950
NABIL,1523,-0.98,85621
NABIL,1526,0.2,60022
NABIL,1521,-0.33,52965
NABIL,1524.2,0.21,36610
